searching,github_webpage,total_results,min_sale_price,max_sale_price,avg_sale_price_overall,msrp_value,profit_value,min_sale_price_embed,chart_url
beetlejuice lydia deetz monster high collector dolls gwf82,https://streamline1175.github.io/130-Search-Results/beetlejuice_lydia_deetz_monster_high_collector_dolls_gwf82.html,8,489.95,600.51,532.6,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-38b9be36-4e4f-4f41-93f7-423d0967f728
monster high freak du chic draculaura figure hlp90,https://streamline1175.github.io/130-Search-Results/monster_high_freak_du_chic_draculaura_figure_hlp90.html,12,114.99,202.5,137.45,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-feb2d1ca-b823-43e2-bf37-5403d0ad8ba3
monster high haunt couture draculaura doll hgk10,https://streamline1175.github.io/130-Search-Results/monster_high_haunt_couture_draculaura_doll_hgk10.html,30,395.0,595.0,443.24,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-e7662852-13c3-41ba-aec6-40a9800964ef
monster high clawdeen haunt couture doll hgk11,https://streamline1175.github.io/130-Search-Results/monster_high_clawdeen_haunt_couture_doll_hgk11.html,15,120.0,149.95,132.56,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-775d75b3-14b5-4966-a447-561bb948ba3f
dracula monster high skullector doll hdw24,https://streamline1175.github.io/130-Search-Results/dracula_monster_high_skullector_doll_hdw24.html,9,107.0,348.88,152.66,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-3bacae94-7c8b-4f01-974d-077362c8133c
monster high skullector elvira doll hlp89,https://streamline1175.github.io/130-Search-Results/monster_high_skullector_elvira_doll_hlp89.html,16,179.0,215.0,194.21,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-57e94462-55e9-4631-8981-11e9439b6211
monster high reel drama frankie stein doll hkn29,https://streamline1175.github.io/130-Search-Results/monster_high_reel_drama_frankie_stein_doll_hkn29.html,12,95.0,202.28,127.09,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-85526c9e-e6b9-492e-bbb0-53634bc8439b
monster high lagoona blue reproduction doll hgc32,https://streamline1175.github.io/130-Search-Results/monster_high_lagoona_blue_reproduction_doll_hgc32.html,29,36.0,173.02,85.35,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-9ddf91d5-4f7a-4e95-aa1d-38426d18ff2c
monster high reel drama lagoona blue doll hkn30,https://streamline1175.github.io/130-Search-Results/monster_high_reel_drama_lagoona_blue_doll_hkn30.html,16,94.95,195.95,114.86,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-1f053ea5-df9e-4bc0-91c5-aaa6d7d97b62
monster high reel drama clawdeen wolf doll hkn28,https://streamline1175.github.io/130-Search-Results/monster_high_reel_drama_clawdeen_wolf_doll_hkn28.html,21,73.0,189.62,98.64,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-b367c540-b334-4071-9842-90f0654b250c
monster high reel drama draculaura doll hkn27,https://streamline1175.github.io/130-Search-Results/monster_high_reel_drama_draculaura_doll_hkn27.html,25,82.95,124.95,98.08,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-f340b887-3ce4-42a7-85af-ea3d21b186c0
monster high frankie stein reproduction doll hgc31,https://streamline1175.github.io/130-Search-Results/monster_high_frankie_stein_reproduction_doll_hgc31.html,32,33.0,140.5,63.31,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-70aba5da-3d79-460a-942d-bb0741f3509a
monster high draculaura reproduction doll hgc29,https://streamline1175.github.io/130-Search-Results/monster_high_draculaura_reproduction_doll_hgc29.html,23,98.88,279.99,170.99,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-304ca888-ad77-4086-adf9-01dcb6ba5a83
black and white surrealist ball mark ryden x barbie doll hjn31,https://streamline1175.github.io/130-Search-Results/black_and_white_surrealist_ball_mark_ryden_x_barbie_doll_hjn31.html,3,625.0,1100.0,785.0,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-e7809de0-9079-4382-8563-28181174261a
mark ryden barbie poster htk15,https://streamline1175.github.io/130-Search-Results/mark_ryden_barbie_poster_htk15.html,0,nan,nan,nan,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-642478d4-7aa9-4088-8748-33a5a74113af
pink pop barbie mark ryden x barbie doll hjn33,https://streamline1175.github.io/130-Search-Results/pink_pop_barbie_mark_ryden_x_barbie_doll_hjn33.html,7,520.0,749.95,619.71,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-47d5eb59-7f39-4784-88e2-52b5463ef40b
