searching,total_results,min_sale_price,max_sale_price,avg_sale_price_overall,msrp_value,profit_value,min_sale_price_embed,chart_url
SONY PLAYSTATION 5 DISC,29,324.95,850.0,415.48,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-f5a9d22d-8436-478c-8a1d-01c530054e19
SONY PLAYSTATION 5 DISC GOD OF WAR BUNDLE,16,469.81,599.0,515.33,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-fd4a66b6-3937-496a-bc01-7170f0895480
SONY PLAYSTATION PORTAL REMOTE PLAYER - PS5,45,195.5,324.99,253.81,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-8426f803-93e5-4c0a-85e6-1be73021413a
SONY PS5 DIGITAL HORIZON FORBIDDEN WEST BUNDLE,10,350.0,499.99,418.66,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-ba6cb15c-97e4-4d63-b094-5de11bef6587
SONY PS5 DISC HORIZON FORBIDDEN WEST BUNDLE,0,nan,nan,nan,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-58691137-e47d-4b64-80e8-f1f21643958d
SQUISHMALLOW POKEMON 14 PIKACHU PLUSH,13,18.0,34.99,25.65,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-d95abf94-5dbe-4d3f-9d9d-29a3becd842e
SQUISHMALLOW POKEMON 20 GENGAR PLUSH,18,49.99,117.65,71.91,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-59bb369f-ad9a-4ec6-821e-9892029b9a54
SQUISHMALLOW POKEMON 20 PIKACHU PLUSH,15,37.99,69.99,47.53,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-4a70d1b8-1668-4c0d-9587-838f34f53f78
SQUISHMALLOW POKEMON 20 SNORLAX PLUSH,25,39.99,175.0,85.47,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-67fa331c-6d84-47e7-afce-3509eb9e2b50
SQUISHMALLOW POKEMON 20 TOGEPI PLUSH,26,34.99,75.0,54.31,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-9f8dd634-223e-460e-b9e0-9bbd9f966e1f
SQUISHMALLOWS SQUISHVILLE 2 HOLIDAY CALENDAR PLUSH - 24 PACK,31,14.99,69.0,26.65,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-cdc3c20f-6a91-4f6c-83b5-736a3bc085d6
STANLEY ADVENTURE QUENCHER TRAVEL TUMBLER 30 OZ - ALPINE BEIGE,24,24.0,69.0,35.33,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-f90d574c-589a-4b63-bc8f-7cf534aca074
STANLEY ADVENTURE QUENCHER TRAVEL TUMBLER 30 OZ - FLAWLESS PINK,17,26.99,69.0,37.52,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-cf833e2c-0f34-4292-b883-4ef9e2270da7
STANLEY ADVENTURE QUENCHER TRAVEL TUMBLER 30 OZ - PERIWINKLE ENVY,22,25.0,69.0,35.45,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-4a2eab22-27b9-4628-98df-26a18b5f3e82
STANLEY ADVENTURE QUENCHER TRAVEL TUMBLER 30 OZ - PURPLE GLARE,22,25.0,69.0,35.45,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-082ce4ef-05a3-4402-9169-271962a0c5f8
STANLEY ADVENTURE QUENCHER TRAVEL TUMBLER 30 OZ - RAVISHING PINK,20,28.0,74.94,41.54,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-3d8de36e-9a1e-49c1-ae88-790b930c9c4e
