searching,total_results,min_sale_price,max_sale_price,avg_sale_price_overall,msrp_value,profit_value,min_sale_price_embed,chart_url
barbie after 5 silkstone doll hby14,11,146.08,200.0,166.78,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-a2fca50a-48c1-4b6a-b3f7-0e656090a07e
barbie ballet wishes doll hcb88,30,29.99,110.0,59.7,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-c7b439fd-5e9d-4d78-9832-524ef03d05a8
barbie bee mark ryden x barbie doll hjn30,12,245.0,376.88,274.23,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-c5dad8ac-1219-4bad-a606-91fc1d55af1e
barbie best to a tea doll ght65,14,89.99,150.0,109.85,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-5051a118-bf7f-4992-bc36-d8570a24bf22
copy of barbie birthday wishes doll hcb90,1,46.5,46.5,46.5,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-31ef2b7a-3d5c-4a25-ba7d-c220625ea291
barbie bmr1959 doll color block sweatshirt with logo tape striped shorts ght92,2,24.99,28.99,26.99,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-e5733a8d-18ad-4660-b97d-6b47cf002a9f
barbie bmr1959 doll neon motocross dress oversized denim jacket ght95,5,16.8,37.98,27.95,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-2feb20e5-7fab-4972-b1f0-f6a81df3692e
classic barbie by american girl collector doll hyf93,7,510.0,630.0,590.57,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-9170d5a3-a6ed-4eec-b679-aee6e3edf5d5
barbie career of the year women in film set of 4 dolls hrg54,5,35.0,79.99,59.56,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-46df801a-f615-469b-8896-c1ae3185dc4b
barbie collector mattel 75th anniversary doll 12 in blonde in red gown gmm98,6,28.0,65.99,50.16,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-e5a4060f-c7e2-40b1-8ce4-f2404cb505ec
barbie crystal fantasy collection doll,28,67.0,124.63,85.31,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-5ff0c1cf-9f19-47fa-a81e-eda6ca4ef1c3
