searching,total_results,min_sale_price,max_sale_price,avg_sale_price_overall,msrp_value,profit_value,min_sale_price_embed,chart_url
STANLEY ADVENTURE QUENCHER TRAVEL TUMBLER 40 OZ - AZALEA,33,39.99,115.0,66.61,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-18d8cef0-ae22-4e6c-bd18-9a66c84d52fe
STANLEY ADVENTURE QUENCHER TRAVEL TUMBLER 40 OZ - CHAMBRAY,34,36.0,117.5,62.7,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-3eb50d5b-4113-48b8-8746-dc43735cffaa
STANLEY ADVENTURE QUENCHER TRAVEL TUMBLER 40 OZ - COAL,34,40.0,115.0,66.86,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-dd141138-f593-4ce1-a805-d64dfe6f730c
STANLEY ADVENTURE QUENCHER TRAVEL TUMBLER 40 OZ - CORNFLOWER,36,40.0,117.5,65.31,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-3e1ad0c8-078c-4b58-8106-ea4f2b0c4a22
STANLEY ADVENTURE QUENCHER TRAVEL TUMBLER 40 OZ - CREAM,8,69.99,249.0,160.18,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-1e4094ac-2702-4548-983a-8d588bc56f52
STANLEY ADVENTURE QUENCHER TRAVEL TUMBLER 40 OZ - DRIFTWOOD,31,41.89,139.0,72.62,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-70e13d90-ea61-4c33-8df6-a678614027d6
STANLEY ADVENTURE QUENCHER TRAVEL TUMBLER 40 OZ - EUCALYPTUS,30,40.0,117.5,65.89,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-65dafd5d-5506-4634-b2e4-2c4162f3cdc1
STANLEY ADVENTURE QUENCHER TRAVEL TUMBLER 40 OZ - GRAPEFRUIT,10,45.0,87.0,65.6,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-c63a109e-0d6f-49fc-a1c5-46733f0f0051
STANLEY ADVENTURE QUENCHER TRAVEL TUMBLER 40 OZ - PINK DUSK,8,50.0,99.5,77.93,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-51506f5e-ed3d-4c28-bdce-de0aa307cab6
STANLEY ADVENTURE QUENCHER TRAVEL TUMBLER 40 OZ - ROSE QUARTZ,27,36.0,115.0,61.65,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-410972fe-d667-45c0-bb3a-367eacc71fe8
STANLEY ADVENTURE QUENCHER TRAVEL TUMBLER 40 OZ - SEA FOAM,31,44.99,149.0,74.06,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-f04e8aad-bd7c-4073-8279-3a6192c662fe
STANLEY ADVENTURE QUENCHER TRAVEL TUMBLER 40 OZ - YARROW,32,36.98,117.5,62.59,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-76cb5e64-6fa7-4168-af0d-cabdb4e56d74
SUPER MARIO BROS ENCYCOLOPEDIA BOOK,26,7.45,73.9,16.45,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-df0c5f12-5440-47d5-aad4-5d713bae0cbd
SUPER SNACK PACK VANILLA PUDDING CUPS 6 COUNT - 8 PACK,18,5.7,37.3,15.33,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-1af1f23a-1576-4f69-997b-05761731b218
TAYLOR SWIFT FOLKLORE CD,30,88.98,295.0,178.84,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-23139b3d-58c2-4581-a240-484a17311d31
